date,price
13.02.17,8462.879883
14.02.17,8426.150391
15.02.17,8486.269531
16.02.17,8467.519531
17.02.17,8506.490234
20.02.17,8514.519531
21.02.17,8567.179688
22.02.17,8585.849609
23.02.17,8569.360352
24.02.17,8525.620117
27.02.17,8520.55957
28.02.17,8545.80957
01.03.17,8634.700195
02.03.17,8661.629883
03.03.17,8670.05957
06.03.17,8664.799805
07.03.17,8623.969727
08.03.17,8626.650391
09.03.17,8639.700195
10.03.17,8669.969727
13.03.17,8683.049805
14.03.17,8663.540039
15.03.17,8688.860352
16.03.17,8667.480469
17.03.17,8698.530273
20.03.17,8695.040039
21.03.17,8614.860352
22.03.17,8567.879883
23.03.17,8628.639648
24.03.17,8613.639648
27.03.17,8594.540039
28.03.17,8597.019531
29.03.17,8661.530273
30.03.17,8704.389648
31.03.17,8658.889648
03.04.17,8633.860352
04.04.17,8646.990234
05.04.17,8640.509766
06.04.17,8638.370117
07.04.17,8640.910156
10.04.17,8616.679688
11.04.17,8641.549805
12.04.17,8663.769531
13.04.17,8629.019531
18.04.17,8529.280273
19.04.17,8532.269531
20.04.17,8557.870117
21.04.17,8553.990234
24.04.17,8711.320313
25.04.17,8775.240234
26.04.17,8830.290039
27.04.17,8844.780273
28.04.17,8812.669922
02.05.17,8868.55957
03.05.17,8891.889648
04.05.17,8980.019531
05.05.17,9016.660156
08.05.17,9039.610352
09.05.17,9113.830078
10.05.17,9089.799805
11.05.17,9064.879883
12.05.17,9123.410156
15.05.17,9108.25
16.05.17,9127.610352
17.05.17,9001.599609
18.05.17,8938.370117
19.05.17,9022.509766
22.05.17,9084.780273
23.05.17,9061.759766
24.05.17,9035.089844
26.05.17,9042.030273
29.05.17,9031.959961
30.05.17,9007.540039
31.05.17,9016.639648
01.06.17,9024.919922
02.06.17,9043.959961
06.06.17,8908.269531
07.06.17,8876.730469
08.06.17,8811.620117
09.06.17,8845.849609
12.06.17,8807.849609
13.06.17,8867.070313
14.06.17,8849.400391
15.06.17,8853.009766
16.06.17,8963.290039
19.06.17,9030.299805
20.06.17,9023.549805
21.06.17,8985.610352
22.06.17,9051.269531
23.06.17,9032.889648
26.06.17,9121.219727
27.06.17,9072.919922
28.06.17,9076.730469
29.06.17,8944.040039
30.06.17,8906.889648
03.07.17,9009.80957
04.07.17,8971.400391
05.07.17,8954.099609
06.07.17,8886.950195
07.07.17,8883.269531
10.07.17,8943.839844
11.07.17,8874.070313
12.07.17,9015.599609
13.07.17,9003.570313
14.07.17,9034.570313
17.07.17,9038.650391
18.07.17,8977.980469
19.07.17,9024.320313
20.07.17,9027.370117
21.07.17,8938.679688
24.07.17,8898.230469
25.07.17,8937.900391
26.07.17,8990.339844
27.07.17,9017.790039
28.07.17,9019.30957
31.07.17,9055
02.08.17,9122.679688
03.08.17,9136.610352
04.08.17,9176.990234
07.08.17,9155.129883
08.08.17,9162.330078
09.08.17,9027.150391
10.08.17,8949.860352
11.08.17,8884.040039
14.08.17,9031.269531
15.08.17,9012.519531
16.08.17,9037.919922
17.08.17,8945.400391
18.08.17,8874.349609
21.08.17,8883.780273
