month,level_1,value
2007-10,Total Passengers,3077064
2007-11,Total Aircraft Arrivals And Departures,18515
2007-11,Total Passengers,3182693
2007-12,Total Aircraft Arrivals And Departures,19339
2007-12,Total Passengers,3513762
2008-01,Total Aircraft Arrivals And Departures,18868
2008-01,Total Passengers,3113263
2008-02,Total Aircraft Arrivals And Departures,18104
2008-02,Total Passengers,2940491
2008-03,Total Aircraft Arrivals And Departures,19370
2008-03,Total Passengers,3264616
2008-04,Total Aircraft Arrivals And Departures,18884
2008-04,Total Passengers,3049449
2008-05,Total Aircraft Arrivals And Departures,19590
2008-05,Total Passengers,3134572
2008-06,Total Aircraft Arrivals And Departures,19103
2008-06,Total Passengers,3215021
2008-07,Total Aircraft Arrivals And Departures,19697
2008-07,Total Passengers,3232007
